abv,barcode,beer,brewer,description,location,name,sku,style
8.00%,608782669387,Haandbakk,Haandbryggeriet,"Aromas of sour berries, wood, and dried fruit",Norway,Haandbryggeriet Haandbakk,478647,Sour Red
5.80%,,Hacker-Pschorr Oktoberfest,Hacker-Pschorr Bräu,Aromas of sweet bread and toasted malt,Germany,,,Märzen
8.00%,696859190476,Rose,Hair of the Dog,"Named for Portland, the rose city, this Belgian Tripel is made with beets, hibiscus flowers and pink peppercorns.",Oregon,Beachwood Melrose 22oz,476123,Tripel
5.20%,,Daisy Cutter,Half Acre,A west coast pale ale full of dank aromatic hops,"Chicago, IL",,,Pale Ale
8.70%,,#Buzzwords,Half Door Brewing,"A super dank pale ale with Simcoe, Citra, Galaxy, Amarillo, Chinook, & Mosaic.  This shit is so lit it will leave you in the burn ward.","San Diego, CA",,,Double IPA
6.50%,,Hoban House,Half Door Brewing,"North East style IPA brewed with Citra, Amarillo, Galaxy, & Mosaic.  Intentionally unfiltered.  Juicy, hazy, and turbid AF.","San Diego, CA",,,IPA
7.20%,,House of Hops,Half Door Brewing,"Piney, resinous, and citrusy hops","San Diego, CA",,,IPA
7.20%,,Northeast IPA,Half Door Brewing,"Intentionally unfiltered, this big juicy IPA packs a fruity punch beneath the haze.","San Diego, CA",,,IPA
5.20%,,Roark Red,Half Door Brewing,Roasty and nutty with mild hop backbone,San Diego,,,Irish Red
13.80%,100000126622,Pugachev's Cobra (2016),Hangar 24,"This rich, black beauty with a thick caramel head is bursting with aromas of chocolate, vanilla, oak, bourbon, licorice and dark fruits, while flavors of chocolate-covered plum, sweet malt, bourbon, and roasted coffee explode on your palate","Redlands, CA",Hangar 24 Pugachev's Cobra 2016,476380,Barrel-Aged Imperial Stout
18.90%,,Pugachev’s Cobra (2014),Hangar 24,"Aromas of chocolate, vanilla, oak, bourbon, licorice and dark fruits","Redlands, CA",,,BA Imperial Stout
7.80%,,Winter Warmer,Hangar 24,"Brewed with spruce tips, maple syrup and cinnamon.","Redlands, CA",,,Spiced Ale
6.00%,,Oudbeitje Lambic,Hanssens Artisanaal,"Slightly carbonated; strawberries on aroma and palate, tart and dry-",Belgium,,,Strawberry Lambic
5.10%,,Westcoaster,Home Brewing Company,"Hopped w/ fresh Chinook, Cascade, Columbus. Collaboration w/ Westcoaster Magazine.",San Diego,,,Fresh Hop Red Ale
11.00%,,Straffe Hendrik Heritage Quadrupel,Huisbrouwerij De Halve Maan,"Rich and intense dark Belgian ale, dark in color, chewy, malty and complex",Belgium,,,Oak Aged Quadrupel
5.50%,,Killarney's 10th Irish Red,Ironfire Brewing Company,Caramel malt flavor & sweetness with hints of toffee,Temecula,,,Irish Red
6.50%,100000011393,Hamajang,Jolly Pumpkin / Mikkeller / Evil Twin / Leelanau,Blend of two oak-aged sours with sea buckthorn and strawberries,Michigan,Jolly Pumpkin / Mikkeller / Evil Twin Hamajang 750ml,2320738,Sour
4.50%,,Bam Bière,Jolly Pumpkin Artisan Ales,"Slightly sour grain, earth, funk, and yeast flavors on the finish",Michegan,,,Farmhouse Saison
4.30%,897435000312,Bam Noire,Jolly Pumpkin Artisan Ales,"Aromas of worn leather, flavors of sweet plum & toasted raisin, coffee & cacao",Michigan,Jolly Pumpkin Bam Noire,478141,Dark Farmhouse Ale
6.80%,,Baudelaire Beer iO Saison,Jolly Pumpkin Artisan Ales,"Brewed w/ rose hips, rose petals & hibiscus. Aroma is floral, wild, funky",Michegan,,,Tart Saison
4.80%,897435000039,Calabaza Blanca,Jolly Pumpkin Artisan Ales,"Spiced with orange peel and coriander; tart, with a wonderful dry finish",Michegan,Jolly Pumpkin Calabaza Blanca,478135,Sour Witbier
6.10%,,Fuego del Otoño,Jolly Pumpkin Artisan Ales,Tart amber Saison brewed with chestnut and spices,Michegan,,,Sour Amber Saison
5.90%,897435004426,La Parcela,Jolly Pumpkin Artisan Ales,Tart earthiness with a hint of pumpkin spice and a little cocoa in the dry finish,Michigan,Jolly Pumpkin La Parcela 750ml,478146,Sour Pumpkin 
7.50%,857193003246,La Roja du Kriek,Jolly Pumpkin Artisan Ales,"3,100 gallons of 2013 La Roja meets 50 gallons of Michigan tart cherry juice",Michegan,Jolly Pumpkin La Roja du Kriek 750ml,2320740,Sour red with Cherries
7.40%,,La Rojzilla,Jolly Pumpkin Artisan Ales,Foudre aged La Roja; aged for a year and a half,Michegan,,,Sour Red
8.10%,,Madrugada Obscura,Jolly Pumpkin Artisan Ales,Belgian style stout aged in oak and bottle conditioned,Michigan,,,Sour Stout
5.00%,,Wet-Hopped Saison,Jolly Pumpkin Artisan Ales,"Light, crisp and bright with a bit of funk and slight tartness. Nice hoppy notes. ",Michigan,,,Saison
6.99%,858969003019,Cherry Bomb,Julian Hard Cider,"Clean, crisp, hard apple cider infused with juice from the Montmorency Cherry",Julian,Julian Cherry Bomb,476565,Cider
8.90%,,Peanut Butter Cup Porter (2015 Barrel-Aged),Karl Strauss,"Brewed annually for SDBW, this version of the chocolate and peanut butter porter was aged in Elijah Craig Barrels. ","San Diego, CA",,,Bourbon Barrel-Aged Porter 
5.60%,796535001369,Peanut Butter Cup Porter,Karl Strauss Brewing Company,Rich layers of smooth peanut butter and dark chocolate flavors,San Diego,Karl Strauss Peanut Butter Cup Porter,481184,Porter
8.00%,,Singularity,Karl Strauss Brewing Company,Silver Medal 2015 GABF in American-style Black Ale,Costa Mesa,,,Black IPA
8.00%,868995000036,Citra,Kern River Brewing,Hazy pale in color with a strong pungent aroma that comes from large amounts of Citra hops,"Kernville, CA",Against the Grain Citra Ass Down 16oz can,1548523,Double IPA
8.50%,895801001246,Class V,Kern River Brewing,Rich notes of sweet cocoa and coffee.,Kernville,Kern River Class V Stout 22oz,476364,Imperial Stout
8.00%,895801001291,Dirty Hippie,Kern River Brewing,Dry-hopped with Summit and Simcoe.  A whole lot of hoppy goodness balanced with a nice malt backbone ,"Kernville, CA",Kern River Dirty Hippie 22oz,1134460,Imperial Red Ale
5.00%,895801001314,Gravity Check,Kern River Brewing,This beer blends the lightness of pilsner malts with enough Mosaic hops to satisfy even the biggest hop head,"Kernville, CA",Kern River Gravity Check 22oz,743687,Session IPA
5.00%,895801001314,Gravity Check,Kern River Brewing,"Aroma is floral, citrus and tropical hops with light biscuit malt",Kernville,Kern River Gravity Check 22oz,743687,Session IPA
11.00%,895801001321,Hop Nookie,Kern River Brewing,"Loaded with Chinook and Amarillo hops and brewed with California Ale yeast, specialty malts and Sierra Mountain water. ","Kernville, CA",Kern River Hop Nookie 22oz,,Triple IPA
6.80%,895801001239,Just Outstanding,Kern River Brewing,Dry hopped with Simcoe and Amarillo to give it that great floral aroma and citrus finish,"Kernville, CA",Kern River Just Outstanding 22oz,476363,IPA
5.60%,895801001338,River Buddy,Kern River Brewing,"Citra, simcoe, and eureka hops combined with clean crisp sierra mountain water will make this hoppy ale your best friend","Kernville, CA",Kern River River Buddy 22oz,100000124635,Pale Ale
5.20%,895801001222,Sequoia Red,Kern River Brewing,"A classic American Amber Ale, this beer balances a variety of malts with a blend of German hops. With its distinctive copper color and caramel flavors, this beer is unforgettable and ""Giantly Delicious""","Kernville, CA",Kern River Sequoia Red 22oz,2803951,American Amber Ale
7.00%,,Think Tank #11,Kern River Brewing,A series of experimental beers from Kern River featuring different hop varietals ,"Kernville, CA",,,IPA
7.00%,,Saison Acidifié,Kinetic Brewing Company,Sour Saison!,"Lancaster, California",,,Tart Saison
5.50%,,Hitachino Nest White Ale,Kiuchi Brewery ,"Brewed in the Belgian tradition w/ coriander, nutmeg, orange peel & orange juice",Japan,,,Witbier
8.70%,,6th Anniversary DIPA,Knee Deep,Sweet and citrus upfront leading to a hoppy resinous slightly malty sweet but bitter finish,"Auburn, CA",,,Double IPA
4.50%,,6th Anniversary Session,Knee Deep,"6 hops: Amarillo, Cascade, Centennial, Chinook, Citra, CTZ.  Flavors of grapefruit and lime with a light finish.","Auburn, CA",,,Session IPA
8.00%,736211628367,Big Sipper,Knee Deep,"A golden citrusy, floral, slightly fruity DIPA, with a crisp dry finish. Dry Hopped with Citra, Centennial, and Simcoe","Auburn, CA",Knee Deep Big Sipper 22oz,2316402,Double IPA
8.00%,736211628664,Lupulin River,Knee Deep,"Tropical and Piney, hopped with simcoe and mosaic","Auburn, CA",Knee Deep Lupulin River 22oz,847519,DIPA
5.50%,,Tater Hops,Knee Deep,"Simple malt bill to showcase the hop flavors and aroma, Orange/citrus, dark fruit, herbal aromas and flavors. Crisp dry finish.","Auburn, CA",,,Pale Ale
11.25%,736211629265,Simtra,Knee Deep Brewing Co.,"Earthy hoppiness, citrus, tropical fruit, sugar, and alcohol","Auburn, CA",Knee Deep Simtra,476210,Tripel IPA
6.50%,653341883391,Breaking Bud,Knee Deep Brewing Company,Classic IPA with newer tropical fruit hop flavors and aromas of Mosaic,"Auburn, CA",Knee Deep Breaking Bud 16oz CAN,100000101070,IPA
8.00%,736211628664,Lupulin River,Knee Deep Brewing Company,"Notes of tropical fruits, pineapples, mangoes, oranges, lemon zest","Auburn, CA",Knee Deep Lupulin River 22oz,847519,Double IPA
6.40%,,Deep Dish,Knee Deep/Pizza Port,"Grist being 20% wheat gives the beer a pale yellow color and a clean/crisp finish, yet medium bodied mouthfeel.  Citra, Mosaic and Galaxy hops.","Auburn, CA",,,IPA
4.80%,4014964007773,Schwarzbier ,Köstritzer,"Malty, Roasty, Sweet, Earthy, Light-bodied",Germany,Köstritzer Schwarzbier 500ml can 4pk,478322,Schwarzbier (Black Lager)
7.60%,,Project Dank,La Cumbre,"Project Dank is just that; a project. It’s an ever changing expression of our hoppiest endeavors. Each recipe is different, featuring different hops and hopping techniques. One thing will remain common…HOP INSANITY.",New Mexico,,,IPA
6.50%,723830000056,Born Yesterday,Lagunitas,The hops go into a proprietary Borning Process which allows them to take these whole-cone hops (not pellets or oils or other sorcery) and deliver their absolute essence and liquid likeness,"Petaluma, CA",Lagunitas Born Yesterday 12oz,476171,Pale Ale
11.50%,,The Waldos' 420 Special,Lagunitas,The dankest and hoppiest beer ever brewed at Lagunitas,"Petaluma, CA",,,Triple IPA
11.70%,,Willet Imperial Stout,Lagunitas,"A blended beer using Willett Family Reserve Bourbon barrels aging their Imperial Stout for 3 months, 6 months and 9 months then blended","Petaluma, CA",,,Barrel-Aged Stout
7.50%,,A Little Sumpin’ Sumpin’,Lagunitas Brewing Company,Citrusy wheat pale ale,Petaluma,,,American Pale Wheat
7.50%,723830000056,Born Yesterday,Lagunitas Brewing Company,"Fresh hop Simcoe, Mosaic pale ale",Petaluma,Lagunitas Born Yesterday 12oz,476171,Pale Ale
11.10%,,Waldo's Special Ale,Lagunitas Brewing Company,4/20 Special Double IPA,Petaluma,,,Tripel IPA
5.50%,738435171254,Kili Wit,Logsdon Farmhouse Ales,Traditionally brewed white beer with refreshing flavors & creamy smoothness,Oregon,Logsdon Kili Wit 375ml,481536,Witbier 
8.00%,,Oak-Aged Seizoen Bretta,Logsdon Farmhouse Ales,"Funky, dry with oak tannins, vanilla notes and subtle smoky spiciness",Oregon,,,Oak-Aged Saison
8.00%,738435171186,Seizoen Bretta,Logsdon Farmhouse Ales,"One of our favorite saisons. Funky, dry and crisp.",Oregon,Logsdon Seizoen Bretta 375ml,481535,Saison
7.80%,804551346101,The Conversion,Logsdon Farmhouse Ales,"Tart, juicy ale brewed in the farmhouse tradition & opened to wild fermentation",Oregon,Logsdon The Conversion 750ml,2354666,Wild Ale
7.10%,100000011911,Avant Gourde,Lost Abbey,,San Marcos,KEG - Lost Abbey Avant Gourde,481446,Pumpkin Biere de Garde
11.00%,689926005278,Cuvee de Tomme,Lost Abbey,"Sour with hints of dates, raisins, cherry, oak and vanilla",San Marcos,Lost Abbey Cuvee de Tomme,481166,Sour
13.70%,689926060840,Track 8,Lost Abbey,Brewed with cinnamon sticks and dried chili peppers,San Marcos,Lost Abbey Track 8,481172,Barrel-Aged Strong Ale
12.50%,689926005292,Deliverance,Lost Abbey Brewing Company,Blend of bourbon BA Serpent’s Stout & brandy BA Angels Share,San Marcos,Lost Abbey Deliverance 375ml,481474,American Strong Ale
4.10%,,Salty Kiss,Magic Rock Brewing,"Gose, flavored with Gooseberries, Sea Buckthorn and Sea Salt",England,,,Gose
5.20%,608782666805,Ungespundet,MAHR'S BRÄU,"The hazy, unfiltered lager of your dreams, with unbelievable body, freshness, and flavor. ",Germany,Mahrs Ungespundet Lager,478279,Kellerbier
5.20%,,Kellerbier Ungespundet,Mahrs Bräu,Unfiltered lager. Notes of honey and biscuits.,Germany,,,Zwickle
6.00%,730957374434,Mo,Maine Beer Co,"Flavors and aromas of zesty citrus, passionfruit, and pine present themselves throughout. A very subtle malt sweetness for balance",Maine,18th Street Moonwalk,892558,Pale Ale
5.50%,,Peeper,Maine Beer Co,"Dry, clean and well balanced with a generous dose of American hops. ",Maine,,,Pale Ale
7.00%,8717624428135,Lunch,Maine Beer Co.,"Intense hop flavors and tropical, citrus fruit and pine aromas dominate the flavor profile, balanced by subtle malt sweetness",Maine,Evil Twin Naked Lunch,478897,IPA
5.50%,180716000690,Double Nut Brown,Mammoth Brewing,Mild sweetness upfront finishing with a roasty dryness,Mammoth Lakes,Mammoth Double Nut Brown 22oz,476066,Porter
8.00%,180716000171,IPA 395,Mammoth Brewing,Brewed with Sage and Juniper Berries,Mammoth Lakes,Mammoth IPA 395 12oz,476062,IPA
9.00%,,Double Overhead,Maui Brewing Company,"Layered with hops from beginning to end. Its rich, silky sweet body gives a hefty backbone for the hop additions. The hop profile offers hints of tropical fruit and citrus which balance well with the silky malt flavors. ""Big braddah to the Big Swell IPA""",Hawaii,,,Double IPA
9.40%,858799002268,Imperial Coconut Porter,Maui Brewing Company,"Brewed with nearly double the amount of coconut, the flavor also consists of rich chocolate, roast malts, and layers of cocoa and mocha",Hawaii,Maui Imperial Coconut Porter,100000124277,Imperial Porter
5.10%,,Kihei Kolsch,Maui Brewing Company,"Light, crisp and flavorful. Blend of German noble hops and spicy, citrusy hops from the Pacific Northwest",Hawaii,,,Kölsch 
6.80%,,Shifting Winds,Maui Brewing Company,An IPA base finished with a Belgian yeast strain for the best of both worlds,Hawaii,,,Belgian IPA
13.00%,,Termination Dust ,Midnight Sun Brewing,Belgian Barleywine aged in High West bourbon oak barrels,Alaska,,,NITRO BBA Barleywine
7.80%,,T.R.E.A.T.,Midnight Sun Brewing,Imperial Chocolate Pumpkin Porter,Alaska,,,Imperial Pumpkin Porter
7.00%,707408002239,Trickster,Midnight Sun Brewing,"Light notes of pumpkin spice along with yeast, banana, nutmeg and cloves",Alaska,Midnight Sun Trickster bottle,477894,Belgian-style Pumpkin Ale 
7.50%,,Beer Geek Bacon,Mikkeller,A smoked version of Beer Geek Breakfast,Denmark,,,Smoked Oatmeal Stout
10.90%,,Beer Geek Brunch Weasel,Mikkeller,"Brewed w/ one of the most expensive coffees, made from droppings of civetcats",Denmark,,,Coffee Oatmeal Stout
7.50%,,Beer Geek Flat White,Mikkeller,Oatmeal Stout brewed with coffee and lactose.,Denmark,,,Sweet Stout
8.00%,,From / To / Via,Mikkeller,Holiday Porter brewed with spices,Denmark,,,Baltic Porter
5.00%,,Raspberries & Cream,Mikkeller,Oaked Raspberry Cream Ale,Denmark / San Francisco,,,Cream Ale
7.50%,818534012518,Rauch Geek Breakfast,Mikkeller,A smoked version of Beer Geek Breakfast Stout,Torrance,Mikkeller Rauch Geek Breakfast,478760,Smoked Oatmeal Stout
8.90%,,Single Hop Citra,Mikkeller,,Denmark,,,Imperial IPA
8.90%,,Single Hop Simcoe,Mikkeller,,Denmark,,,Imperial IPA
7.70%,818534015717,Spontanhibiscus,Mikkeller,Aromas of bread and sour fruits with floral notes.,Denmark,Mikkeller Spontanhibiscus,558511,Sour
12.00%,,Beer Geek Speedway,Mikkeller / AleSmith,Imperial Oatmeal Stout with Kopi Luwak Coffee,San Diego,,,Imperial Stout
12.00%,,Beer Geek Daydream,Mikkeller / Siren,"White stout brewed with coffee, cocoa and vanilla.",England,,,White Stout
5.50%,8185340126790,BetelGeuze,Mikkeller / To Øl ,Hoppy and sour. Collaboration between Mikkeller and To Øl ,Denmark,Mikkeller/To Ol BetelGeuze Bottle,705837,Gueuze
7.70%,818534012945,Blå Spøgelse,Mikkeller + Three Floyds,"Sour Ale with Blueberries, aged in Oak Barrels",Denmark,Mikkeller Blå Spøgelse Bottle,1358453,Blueberry Lambic
7.90%,100000012222,Juicebag,Mikkeller + To ØL Collaboration,An Oud Bruin Ale brewed with more citrus fruits than your local market,Denmark,KEG Mikkeller Juicebag 20L,835267,Oud Bruin
10.00%,,Belgian Dark Strong,Mikkeller SD,a heavy dark Belgian ale inspired by the Trappist monasteries,San Diego,,,Belgian Stong Dark Ale
8.00%,728795049881,Cherrykriek,Millstone Cellars,Polish Sour Cherries and Dark cherries blended with oak-aged cider,Maryland,Millstone Cherrykriek Cider,1674506,Cider
8.00%,728795049881,Cherrykriek,Millstone Cellars,Polish Sour Cherries and Dark cherries blended with oak-aged cider,Maryland,Millstone Cherrykriek Cider,1674506,Cider
7.00%,866666000132,Diehard,Mission-Trail Cider Company,"Made from Winesap, Spitzenburg, and Newtown Pippin apple varieties. A hint of apple sweetness with the full flavor and tartness of these varieties.","Bradley, CA",Mission Trails Diehard Cider,2403821,Cider
6.20%,,Accumulated Knowledge,Modern Times,"Bursting with stone fruit, citrus, and pine, this beer dazzles the palate before exiting with a beautifully dry finish","San Diego, CA",,,IPA
4.80%,,Apricot Fruitlands,Modern Times,"The sour, salty base beer brings funky refreshment and a heavy dose of apricots makes it a stone fruit bomb",San Diego,,,Gose
7.10%,,Asteroid Cowboy,Modern Times,Dry-hopped kettle sour aged in red wine barrels,"San Diego, CA",,,Sour Ale
6.70%,796535000829,Aurora,Modern Times,Spicy malt character of rye with fruity dankness of new wave American hops,San Diego,Karl Strauss Aurora Hoppyalis 12oz,2151457,Red Rye IPA
11.00%,,BA Devil's Teeth ,Modern Times,"An Imperial Stout Old Ale hybrid aged in bourbon barrels brings a rich maltiness and roastiness in a tongue coating, aggressively flavorful package","San Diego, CA",,,Hybrid Stout
11.00%,,"BA Devil's Teeth w/ Almond, Vanilla & Cocoa",Modern Times,Aged in bourbon barrels resulting in a beautiful melange of dessert-like flavors that leave the palate stunned in ecstasy,"San Diego, CA",,,Hybrid Stout
11.00%,,BA Devil's Teeth w/ Barrel-Aged Coffee,Modern Times,The blood orange and hibiscus Fruitlands version also has Vanilla beans added to simulate a creamsicle,"San Diego, CA",,,Hybrid Stout
11.00%,,"BA Devil's Teeth w/ Orange Zest, Hazelnut, and Cocoa",Modern Times,Aged in bourbon barrels yielding a tapestry of flavors and aromas that light up your olfactory pleasure centers,"San Diego, CA",,,Hybrid Stout
13.70%,,BA Monster's Park w/ Vanilla,Modern Times,The blood orange and hibiscus Fruitlands version also has Vanilla beans added to simulate a creamsicle,"San Diego, CA",,,Barrel-Aged Imperial Stout
5.80%,,Black House with Coconut & Cacao Nibs,Modern Times,"Stout with coffee, toasted coconut and cocoa nibs added",San Diego,,,American Stout
7.00%,,Blam! Blam!,Modern Times,"Absurd amounts of uber-fresh Nelson, Denali, and Amarillo hops turn this beverage into a face-full of piney dankness over a bed of lush, tropical delights.","San Diego, CA",,,IPA
6.80%,850352005150,Blazing World,Modern Times,Hoppy Amber ,San Diego,Modern Times Blazing World,481271,IPA
4.80%,,Blood Orange and Hibiscus Fruitlands,Modern Times,"Sour, Salty base brings funky refreshment with a dose of blood oranges and hibiscus for a fruity treat","San Diego, CA",,,Gose
6.80%,100000097250,Booming Rollers,Modern Times,IPA brewed with Citra hops as well as Motueka and Centennial,San Diego,Modern Times Booming Rollers Can,588516,IPA
6.80%,100000097250,Booming Rollers,Modern Times,"IPA hopped with Citra, Motueka, and Centennial",San Diego,Modern Times Booming Rollers Can,588516,IPA
13.70%,,Bourbon Barrel-Aged Monster's Park,Modern Times,"Hulking, cantankerous stout, aged in fragrant, oaky bourbon barrels. The barrel character is immediately evident on the nose and grows more intense in the flavor. Notes of vanilla, caramel, and molasses.","San Diego, CA",,,Barrel-Aged Imperial Stout
13.70%,,Bourbon Barrel-Aged Monster's Park,Modern Times,"Hulking, cantankerous stout, aged in fragrant, oaky bourbon barrels. The barrel character is immediately evident on the nose and grows more intense in the flavor. Notes of vanilla, caramel, and molasses.",San Diego,,,Barrel-Aged Imperial Stout
6.60%,,Centaur Gardens,Modern Times,"Chock-full of Southern Passion, Simcoe, and Citra hops for a profile bursting with lush, tropical flavors, notes of citrus, and a rich, juicy mouthfeel","San Diego, CA",,,IPA
7.60%,850352005204,City of the Sun,Modern Times,"Big, fruity, pungent, sticky, delicious IPA",San Diego,Modern Times City of the Sun/Aurora CAN,477504,IPA
13.70%,,Coconut Cocoa Bourbon Monster's Park,Modern Times,"Coconut and chocolate team up with decadent notes of bourbon and roasty malt radness, adding layers of delicious complexity that explode across the palate, continuing to evolve through a long, beautiful finish.",San Diego,,,Barrel-Aged Imperial Stout
13.70%,,Coffee Bourbon Monster's Park,Modern Times,"Big, thunderous notes of coffee, oak, & bourbon add a crazy dimension to this sledgehammer of sabor, combining with the massive roastiness of Monsters' Park to create a wildly complex and delicious beer.",San Diego,,,Barrel-Aged Imperial Stout
8.00%,,Divine Smite,Modern Times,"Packed to bursting with a glorious amalgam of Calypso, El Dorado, Horizon, Nugget, and J-17 hops","San Diego, CA",,,Double IPA
5.30%,,Fiesta Carnival,Modern Times,Northeast-style hazy pale ale brewed with Galaxy hops.,"San Diego, CA",,,Pale Ale
7.50%,,Floating World IPA,Modern Times,Brewed with two hard to get South African Hops: J-17 and Southern Passion,San Diego,,,IPA
7.50%,,Floating World IPA,Modern Times,Brewed with two hard to get South African Hops: J-17 and Southern Passion,San Diego,,,IPA
5.00%,850352005105,Fortunate Islands,Modern Times,"Easy drinking wheat beer with aromatics of mango, tangerine, and passionfruit",San Diego,Modern Times Fortunate Islands,477503,American Pale Wheat
5.00%,,Fortunate Islands with Grapefruit,Modern Times,"The hoppy, tropical aroma & flavor of Fortunate Islands is the perfect canvas for grapefruit zest, made by hand-peeling a zillion goddamn grapefruits and adding only the oily skin to the beer",San Diego,,,Hoppy Wheat
4.90%,850352005372,Fruitlands,Modern Times,"Notes of bright sour cherries, heavy lacto, a bit of herbal tanginess and salt",San Diego,Modern Times Fruitlands 22oz,1241345,Gose with Sour Cherries 
4.80%,,Fruitlands with Passion Fruit and Guava,Modern Times,"Tart, refreshing, complex yet shockingly drinkable, with just enough funk",San Diego,,,Gose
7.50%,,Golden Pineapple,Modern Times,"The meticulously blended progeny of City of the Sun IPA & Neverwhere 100% Brett IPA. The resulting beer is complex, intensely tropical, and outrageously bomb","San Diego, CA",,,Brett IPA
10.00%,100000013922,Hooloomooloo,Modern Times,"Massive tropical fruit aroma & flavor, firmly bitter but alarmingly drinkable",San Diego,Modern Times Hooloomooloo 22oz,2061170,Double IPA
4.70%,852892003221,Ice,Modern Times,"Maximum crushability, hopped with Czech Saaz and Austrailian Summer Hops",San Diego,2 Towns Nice & Naughty/Serious Scrump,836023,Pilsner
6.20%,,Iron Sunrise,Modern Times,Robust hoppiness of an IPA with the easy drinking qualities of a pils.  Utilizes hops sourced from New Zealand and Yakima,San Diego,,,India Pale Lager
5.50%,100000013908,Lomaland,Modern Times,"Earthy, rustic Belgian-style farmhouse ale",San Diego,Modern Times Funky Lomaland,2064803,Saison
8.50%,100000013939,Lost Horizon,Modern Times,"Double IPA featuring Centennial, Chinook, Simcoe, and Calypso hops",San Diego,Modern Times Lost Horizon,1410979,Double IPA
7.50%,,Mage Hand,Modern Times,Doubled dry hopped with Chinook and Equinox hop oil. Dank and lemony,San Diego,,,IPA
10.00%,,Mega Black House,Modern Times,"Thick, chewy, and bursting with coffee aroma & flavor","San Diego, CA",,,Imperial Stout
10.00%,,Mega Black House,Modern Times,"Thick, chewy, and bursting with coffee aroma & flavor",San Diego,,,Oatmeal Coffee Stout
10.00%,,Mega Black House w/ Double Coffee,Modern Times,Brewed with Single origin Kenya Coffee. A complex sipper that showcases the brilliant interaction of dark roasted malt and coffee.,"San Diego, CA",,,Imperial Stout
10.00%,,Mega Black House w/ NOLA Style Coffee,Modern Times,"Brewed with coffee, almonds, and chicory. Thick, chewy, and bursting with coffee aroma & flavor.","San Diego, CA",,,Imperial Stout
10.00%,,Mega Black House w/ Peanut Butter and Cocoa Nibs,Modern Times,"Brewed with Peanut Butter and Cocoa nibs.  Rich, dark, and complex.","San Diego, CA",,,Imperial Stout
8.50%,,Mega Blazing World,Modern Times,"""Mega"" version of Blazing World with tons of Nelson, Simcoe and Mosaic",San Diego,,,Double IPA
8.00%,,Mega Fortunate Islands,Modern Times,Dry hopped with Citra and Amarillo ,San Diego,,,Double IPA
12.00%,,Monster's Park with Coconut and Coffee,Modern Times,"Roasty, chocolaty goodness w/ the addition of house-roasted coffee & coconut",San Diego,,,Imperial Stout
7.00%,,Neverwhere,Modern Times,"A laser beam of pineapple, with a towering Citra, Centennial, Chinook aroma",San Diego,,,Brett IPA
5.80%,,Nitro Black House w/ Coconut and Cocoa,Modern Times,"Their classic black house stout with heaps of coconut and cocoa nibs.  Majestic, velvety decadence","San Diego, CA",,,American Stout
5.20%,,Oneida,Modern Times,Bright tropical fruit and lemongrass notes and the grapefruity citrus of Cascade ,San Diego,,,Pale Ale
7.50%,850352005570,Orderville,Modern Times,Fruit-forward character of Mosaic combined with the dank resinous of Simcoe ,San Diego,Modern Times Orderville 22oz,2061144,IPA
4.00%,,Passion Fruit and Guava Fruitlands,Modern Times,"The sour, salty base beer brings the funky refreshment, while the heavy dose of passion fruit and guava turns the whole thing into a fruity, tasty treat","San Diego, CA",,,Gose
4.00%,,Peach and Raspberry Fruitlands,Modern Times,"Sour, Salty base brings funky refreshment with a dose of peaches and raspberries for a fruity treat","San Diego, CA",,,Gose
7.00%,100000013991,Protocosmos,Modern Times,"Australian Galaxy hops elegantly high-five American Ahtanum & Centennial over a dry, delicate malt body, making this little gem an absolute pleasure during the summer heat.","San Diego, CA",Modern Times Protocosmos,608975,IPA
5.40%,852672002031,Schwarz,Modern Times,German-style Black Lager brewed with Ethiopian Chelelektu Coffee ,"San Diego, CA",Heater Allen Schwarz 22oz,2176343,Schwarzbier
7.30%,,Sleep Dealer,Modern Times,"Intensely hoppy IPA with Amarillo, Citra, Experimental Hop 06277 and Mosaic hops.",San Diego,,,IPA
5.70%,850352005402,Sleepless City,Modern Times,"A gorgeous brown ale, lovingly layered with house-roasted coffee, vanilla, and cocoa nibs.","San Diego, CA",Modern Times Sleepless City/Fortunate Islands Grapefruit Zest,1920033,Coffee Brown Ale
6.90%,,Southern Lands,Modern Times,"Featuring Centennial & Calypso hops. Juicy, citrusy, pineappley, & delicious",San Diego,,,IPA
4.80%,,Strawberry Fruitlands,Modern Times,"The sour, salty base beer brings funky refreshment and a heavy dose of strawberries",San Diego,,,Gose
13.00%,,"Tequila BA Monster's Park w/ Lime, Vanilla and Sea Salt",Modern Times,"Beautiful aromas of lime peel and subtle oak precede a palate-enrapturing fiesta of rich chocolate that lingers through a round, earthy finish. It's an unlikely combination of components that succeeds in a most epic fashion.","San Diego, CA",,,Barrel-Aged Imperial Stout
5.60%,850352005419,Trueland,Modern Times,"Loaded w/ Simcoe & Amarillo. Light body, big aroma, moderate bitterness",San Diego,Modern Times Universal Friend/Trueland 22oz,2590758,Pale Ale
7.20%,100000124604,Universal Friend,Modern Times,"Light, crisp, and refreshing. Nose is clove, grape, citrus, and a little sweetness",San Diego,Modern Times Funky Universal Friend 750ml,100000123966,Saison with grape must
13.70%,,Vanilla Bourbon Monster's Park,Modern Times,"Vanilla and bourbon add even more complexity to Monster's Park, with notes of chocolate, roast, dark fruit, coffee, and more that linger as you sip.",San Diego,,,Barrel-Aged Imperial Stout
